xt,yt,xf,yf
0.0,0.9985321973526874,0.0,(-1.491089562932757e-08+0j)
1.25e-05,0.38158847914489347,16.670139612419256,(-1.5121699448172876e-08-3.770557477356107e-11j)
2.5e-05,-0.7062898966415655,33.34027922483851,(-1.5754507032283982e-08-8.449443922309285e-11j)
3.75e-05,-0.929452599985041,50.01041883725777,(-1.6816131487296104e-08-1.1976530878143876e-10j)
5e-05,-0.02717632481070995,66.68055844967702,(-1.830950407955001e-08-1.6330903296335464e-10j)
6.25e-05,0.902097398911918,83.35069806209628,(-2.0246510801236184e-08-1.9841450704660701e-10j)
7.5e-05,0.7639177212565046,100.02083767451553,(-2.263343895636538e-08-2.375928828679541e-10j)
8.75e-05,-0.2549693478921031,116.69097728693478,(-2.5501979111774986e-08-2.672592151926889e-10j)
0.0001,-0.981001166815033,133.36111689935404,(-2.8847489896843825e-08-3.1076263784513003e-10j)
0.0001125,-0.6300668612944894,150.0312565117733,(-3.2701219676578575e-08-3.3269162424964804e-10j)
0.000125,0.38236295021881544,166.70139612419257,(-3.7105039485396674e-08-3.629148856432174e-10j)
0.0001375,0.9907347275146567,183.3715357366118,(-4.205899983844574e-08-3.8957623411939313e-10j)
0.00015,0.6174027536315813,200.04167534903107,(-4.7615566600711645e-08-4.124017238815725e-10j)
0.0001625,-0.33137947255699574,216.71181496145033,(-5.3817254652699376e-08-4.2276682155062417e-10j)
0.000175,-0.9685340315953509,233.38195457386956,(-6.068955560323275e-08-4.465161643207871e-10j)
0.0001875,-0.7711795385503306,250.05209418628883,(-6.830197729623677e-08-4.5094800940267965e-10j)
0.0002,0.041412646609630586,266.7222337987081,(-7.669783853858636e-08-4.509370654659506e-10j)
0.0002125,0.8030474113740053,283.3923734111273,(-8.595412770429078e-08-4.569410613775027e-10j)
0.000225,0.9730908952119219,300.0625130235466,(-9.613516045031689e-08-4.413608367670463e-10j)
0.0002375,0.4895001363392689,316.73265263596585,(-1.0732591360085308e-07-4.3186371145864655e-10j)
0.00025,-0.28512998811053836,333.40279224838514,(-1.1962764556727734e-07-4.050224600149477e-10j)
0.0002625,-0.8726454440542014,350.0729318608044,(-1.3314448660262101e-07-3.772268053481298e-10j)
0.000275,-0.9760265005065464,366.7430714732236,(-1.479966399431376e-07-3.3452293018987334e-10j)
0.0002875,-0.5953998445580307,383.4132110856429,(-1.6433723765141295e-07-2.8610497261258305e-10j)
0.0003,0.041412646609630344,400.08335069806213,(-1.8231407966640134e-07-2.230128304248069e-10j)
0.0003125,0.6369238041373977,416.75349031048137,(-2.0212746021375239e-07-1.5202680780923572e-10j)
0.000325,0.9655984263007257,433.42362992290066,(-2.2397702512111373e-07-6.358850251908521e-11j)
0.0003375,0.9425440034533321,450.0937695353199,(-2.481332084802723e-07+3.974624795954895e-11j)
0.00035,0.6174027536315816,466.7639091477391,(-2.748592858314858e-07+1.4991552443888168e-10j)
0.0003625,0.12316822400705094,483.4340487601584,(-3.045111518218402e-07+2.975333035504235e-10j)
0.000375,-0.3852985555134419,500.10418837257765,(-3.374836148040128e-07+4.470382605759049e-10j)
0.0003875,-0.7791973336977185,516.774327984997,(-3.742219346347664e-07+6.242000922217217e-10j)
0.0004,-0.9810011668150337,533.4444675974162,(-4.1529116545646616e-07+8.281721697311895e-10j)
0.0004125,-0.9688027842118702,550.1146072098354,(-4.6134003159337134e-07+1.0619776759368538e-09j)
0.000425,-0.7668533265511291,566.7847468222546,(-5.131432727067953e-07+1.3214731323096807e-09j)
0.0004375,-0.4299184141899091,583.454886434674,(-5.716395835575483e-07+1.6199886154755205e-09j)
0.00045,-0.02717632481070915,600.1250260470932,(-6.379642359943816e-07+1.955196893277389e-09j)
0.0004625,0.37115025369195676,616.7951656595125,(-7.134950654741345e-07+2.3375726909691252e-09j)
0.000475,0.7033542913469417,633.4653052719317,(-7.999405893521772e-07+2.768423136567666e-09j)
0.0004875,0.9222572024161694,650.1354448843509,(-8.993966861270408e-07+3.260617941879679e-09j)
0.0005,0.9985321973526874,666.8055844967703,(-1.0145153859220102e-06+3.818209304284892e-09j)
0.0005125,0.9222572024161676,683.4757241091895,(-1.1486192851295485e-06+4.45266010173917e-09j)
0.000525,0.7033542913469384,700.1458637216087,(-1.3059651499461311e-06+5.1777134732478025e-09j)
0.0005375,0.37115025369195903,716.816003334028,(-1.4920787061445395e-06+6.0096276843779606e-09j)
0.00055,-0.027176324810713807,733.4861429464472,(-1.714155575482934e-06+6.959230636205405e-09j)
0.0005625,-0.42991841418991655,750.1562825588665,(-1.981826205366133e-06+8.068632872948456e-09j)
0.000575,-0.7668533265511276,766.8264221712858,(-2.3080374408346316e-06+9.338526472946196e-09j)
0.0005875,-0.9688027842118714,783.496561783705,(-2.7106650593022863e-06+1.0834821989255672e-08j)
0.0006,-0.9810011668150327,800.1667013961243,(-3.2147140101024263e-06+1.2581699015967729e-08j)
0.0006125,-0.7791973336977178,816.8368410085435,(-3.8560297745959815e-06+1.4648280175638684e-08j)
0.000625,-0.38529855551344083,833.5069806209627,(-4.687083876575571e-06+1.7105079012924573e-08j)
0.0006375,0.12316822400704851,850.1771202333821,(-5.786287808229318e-06+2.0032776715250833e-08j)
0.00065,0.6174027536315769,866.8472598458013,(-7.272871369146117e-06+2.3562173767643912e-08j)
0.0006625,0.9425440034533324,883.5173994582206,(-9.326832399736418e-06+2.7691921977712752e-08j)
0.000675,0.9655984263007262,900.1875390706398,(-1.21958550406559e-05+3.2347947521993436e-08j)
0.0006875,0.6369238041373996,916.857678683059,(-1.603082886370011e-05+3.6381922447360077e-08j)
0.0007,0.041412646609632786,933.5278182954783,(-1.9161873746731395e-05+3.35369079174086e-08j)
0.0007125,-0.5953998445580316,950.1979579078976,(4.8774890775149515e-06-2.677125929273494e-08j)
0.000725,-0.9760265005065458,966.8680975203168,(-0.564183399725172+0.0007384969783558806j)
0.0007375,-0.8726454440542026,983.5382371327361,(3.522779690234124-0.0023056726370713487j)
0.00075,-0.2851299881105373,1000.2083767451553,(-5.916946866019487-1.902489438210253e-08j)
0.0007625,0.4895001363392668,1016.8785163575745,(3.522779715155849+0.002305634578709248j)
